indicador,comuna,poblacion,prev_media,prev_mediana,prev_p2_5,prev_p97_5,casos_media,casos_mediana,casos_p2_5,casos_p97_5
ERC G3a-G5,ANGOL,39571.00000000001,0.037288421813456894,0.02977654954215258,0.005718686000690513,0.11088288574994742,1475.540139580303,1178.2878419325198,226.2941237333243,4387.746672011171
ERC G3a-G5,CARAHUE,18569.000000000007,0.03934403329266008,0.03157262262443085,0.006400013279190346,0.11783422553252092,730.5793542114052,586.2720295130566,118.84184658128558,2188.063733913382
ERC G3a-G5,CHOLCHOL,9534.999999999998,0.02994227236371807,0.026909851351639605,0.010459013104766312,0.06613085675002241,285.4995669880517,256.5854326378836,99.72668995394675,630.5577191114635
ERC G3a-G5,COLLIPULLI,17936.999999999993,0.03719833958776138,0.029641889030302758,0.005385049539841808,0.11456057553905169,667.2266171856755,531.6865635365403,96.59163359614247,2054.8730434439694
ERC G3a-G5,CUNCO,14658.999999999989,0.03569733250868988,0.03206095197769855,0.011904237239053265,0.08068248930915788,523.2871972448846,469.9814950410828,174.5042136872817,1182.7246107829444
ERC G3a-G5,CURACAUTIN,14166.000000000005,0.038393467643676446,0.031015835764114874,0.005640098053330758,0.11483818033708403,543.8818626403207,439.3703294344515,79.89762902348353,1626.797662655133
ERC G3a-G5,CURARREHUE,5696.999999999996,0.012711165095222314,0.011065058294646518,0.003358535264225687,0.03223463656293887,72.41550754748148,63.037637104601174,19.13357540029373,183.64072449906266
ERC G3a-G5,ERCILLA,5559.999999999997,0.03881589843944629,0.030117022929990897,0.005336985032205554,0.12677432128735083,215.81639532332127,167.4506474907493,29.673636779062864,704.8652263576703
ERC G3a-G5,FREIRE,20034.999999999985,0.04207500519945931,0.03845220654468205,0.015148474653959122,0.09117682168163868,842.9727291711666,770.3899581227042,303.4996896920708,1826.7276223916294
ERC G3a-G5,GALVARINO,9349.000000000002,0.04187700888740498,0.03431722471038688,0.008239206871125577,0.12105479835733814,391.50815608834927,320.831733817407,77.02834503815303,1131.7413098427546
ERC G3a-G5,GORBEA,10993.000000000002,0.030640427644822183,0.02783896568295066,0.010577716029448639,0.06843401894861949,336.8302210995303,306.03374975267667,116.28083231172893,752.2951703021741
ERC G3a-G5,LAUTARO,30689,0.03125160043250444,0.025363316504168912,0.004853044549581126,0.09349685721502612,959.0803656731287,778.3748201964397,148.9350841820952,2869.3250510719367
ERC G3a-G5,LONCOCHE,19038.99999999999,0.03814122108676164,0.030492617039150266,0.005716233807408313,0.11470331967712667,726.1707082708546,580.5489358083815,108.8313754592468,2183.836503332813
ERC G3a-G5,LONQUIMAY,7514.000000000005,0.03715311784700936,0.02916723861276066,0.005507814312082616,0.11722469808291448,279.1685275024285,219.16263093628373,41.3857167409888,880.82638139502
ERC G3a-G5,LOS SAUCES,5562.9999999999945,0.03960137918326513,0.03150494514324813,0.005870881878752718,0.12393639848879204,220.3024723965037,175.2620098318892,32.65971589150133,689.4581847931495
ERC G3a-G5,LUMACO,6919,0.038988882030472224,0.03023423372194574,0.005969966776381476,0.12312906909298545,269.7640747688373,209.19066312214255,41.306200125783434,851.9300290543662
ERC G3a-G5,MELIPEUCO,5164.000000000002,0.062318613729689845,0.056985809245215804,0.023099798617165223,0.13237816895916113,321.8133213001185,294.2747189422945,119.28736005904125,683.6008645051085
ERC G3a-G5,NUEVA IMPERIAL,25340.99999999999,0.03661594775769691,0.029349228074024913,0.005710165597673861,0.10993933038004905,927.8847321277968,743.738788623865,144.70130641065325,2785.9725711608216
ERC G3a-G5,PADRE LAS CASAS,58670.00000000001,0.027237620482153828,0.02287670272822523,0.004268227257782762,0.07775486342815405,1598.0311936879652,1342.1761490649744,250.41689321411468,4561.877837329798
ERC G3a-G5,PERQUENCO,5537.999999999995,0.03860159199581498,0.029213209917669694,0.00492155313613788,0.13177884951974436,213.77561647282315,161.78275652405466,27.25556126793156,729.7912686403439
ERC G3a-G5,PITRUFQUEN,20452.000000000007,0.035631882000467546,0.03133278383051196,0.01004975396481509,0.0851854584966132,728.7432506735626,640.8180949016308,205.5375680883983,1742.2129971727336
ERC G3a-G5,PUCON,24191.999999999985,0.03447323345436936,0.02944195956162178,0.007893854472313078,0.09173945894790575,833.976463728103,712.2598857147538,190.96812739419786,2219.3609908677345
ERC G3a-G5,PUREN,9114.999999999996,0.03940231068535154,0.03088833009029409,0.005857281473603022,0.12159585919975406,359.15206189697915,281.5471287730305,53.38912063189152,1108.3462566057578
ERC G3a-G5,RENAICO,7948.999999999998,0.03765107895322971,0.030013199947700887,0.005457125814816591,0.11691118256819831,299.2884265992229,238.5749263842743,43.37869310197708,929.3269902346082
ERC G3a-G5,SAAVEDRA,9634.999999999995,0.04145704539618328,0.03192352243413393,0.0050010409848338455,0.13530189018564753,399.43863239222566,307.5831386528802,48.18502988887407,1303.633711938713
ERC G3a-G5,TEMUCO,221666.0000000001,0.05394404996785819,0.04967395111714086,0.020330632869783937,0.11313855562833688,11957.561780175258,11011.026048332149,4506.6100657135285,25078.97107191093
ERC G3a-G5,TEODORO SCHMIDT,11882,0.05275896923795444,0.041829888721059666,0.010191074690405323,0.16094328853229115,626.8820724853746,497.0227377836309,121.09034947139602,1912.3281543406833
ERC G3a-G5,TOLTEN,7628.000000000001,0.04018406438980983,0.032011096918297274,0.0060513330301832525,0.12576004121773698,306.52404316546944,244.1806472927716,46.159568354237855,959.2975944088978
ERC G3a-G5,TRAIGUEN,14182.000000000007,0.041558033730161405,0.03275039795724885,0.00568849002009499,0.12782956222094755,589.3760343611494,464.4661438297034,80.67416546498718,1812.878851417479
ERC G3a-G5,VICTORIA,26018.999999999996,0.03962735269601205,0.031185122278996998,0.005809180295756838,0.12048640088310744,1031.0640897975375,811.4056965772228,151.14906211529714,3134.9356645775724
