indicador,comuna,poblacion,prev_media,prev_mediana,prev_p2_5,prev_p97_5,casos_media,casos_mediana,casos_p2_5,casos_p97_5,comuna_norm,amplitud_ic95,razon_ic95,prev_regional,exceso_relativo_vs_region,diferencia_abs_vs_region,categoria_exceso,categoria_incertidumbre
ERC G3a-G5,MELIPEUCO,5164.000000000002,0.06231861372968984,0.0569858092452158,0.02309979861716522,0.13237816895916113,321.8133213001185,294.2747189422945,119.28736005904123,683.6008645051085,MELIPEUCO,0.10927837034199592,1.9176418092399083,0.0386348070520346,1.4749862518652022,0.0183510021931812,≥30% sobre región,moderada
ERC G3a-G5,TEMUCO,221666.0000000001,0.05394404996785819,0.04967395111714086,0.02033063286978393,0.11313855562833688,11957.561780175258,11011.026048332147,4506.6100657135285,25078.97107191093,TEMUCO,0.09280792275855296,1.8683418707663053,0.0386348070520346,1.285730534391912,0.011039144065106261,10–29% sobre región,moderada
ERC G3a-G5,TEODORO SCHMIDT,11882,0.05275896923795444,0.04182988872105966,0.01019107469040532,0.16094328853229117,626.8820724853746,497.0227377836309,121.09034947139602,1912.3281543406831,TEODORO SCHMIDT,0.15075221384188586,3.6039353307193527,0.0386348070520346,1.082699563238968,0.00319508166902506,similar a región,muy alta
ERC G3a-G5,FREIRE,20034.999999999985,0.04207500519945931,0.03845220654468205,0.01514847465395912,0.09117682168163868,842.9727291711666,770.3899581227042,303.4996896920708,1826.7276223916297,FREIRE,0.07602834702767956,1.9772167545010313,0.0386348070520346,0.9952736788071281,-1.826005073525469e-4,similar a región,moderada
ERC G3a-G5,GALVARINO,9349.000000000002,0.04187700888740498,0.03431722471038688,0.00823920687112557,0.12105479835733814,391.50815608834927,320.831733817407,77.02834503815303,1131.7413098427546,GALVARINO,0.11281559148621256,3.287433422670289,0.0386348070520346,0.8882463076408623,-0.004317582341647717,10–29% bajo región,muy alta
ERC G3a-G5,TRAIGUEN,14182.000000000007,0.0415580337301614,0.03275039795724885,0.00568849002009499,0.12782956222094757,589.3760343611494,464.4661438297034,80.67416546498718,1812.878851417479,TRAIGUEN,0.12214107220085259,3.7294530698616546,0.0386348070520346,0.8476915107441733,-0.005884409094785749,10–29% bajo región,muy alta
ERC G3a-G5,CUNCO,14658.999999999987,0.03569733250868988,0.03206095197769855,0.01190423723905326,0.08068248930915788,523.2871972448846,469.9814950410828,174.5042136872817,1182.7246107829444,CUNCO,0.06877825207010461,2.1452342437600245,0.0386348070520346,0.8298463076188741,-0.006573855074336048,10–29% bajo región,alta
ERC G3a-G5,TOLTEN,7628.000000000001,0.04018406438980983,0.03201109691829727,0.00605133303018325,0.12576004121773698,306.52404316546944,244.1806472927716,46.159568354237855,959.2975944088978,TOLTEN,0.11970870818755373,3.7396003171365635,0.0386348070520346,0.8285558893870932,-0.006623710133737332,10–29% bajo región,muy alta
ERC G3a-G5,SAAVEDRA,9634.999999999996,0.04145704539618328,0.03192352243413393,0.00500104098483384,0.13530189018564753,399.43863239222566,307.5831386528802,48.18502988887407,1303.633711938713,SAAVEDRA,0.1303008492008137,4.08165638580944,0.0386348070520346,0.826289164357371,-0.006711284617900666,10–29% bajo región,muy alta
ERC G3a-G5,CARAHUE,18569.000000000007,0.03934403329266008,0.03157262262443085,0.00640001327919034,0.11783422553252092,730.5793542114052,586.2720295130566,118.84184658128558,2188.063733913382,CARAHUE,0.11143421225333058,3.529456946889897,0.0386348070520346,0.8172066857201545,-0.00706218442760375,10–29% bajo región,muy alta
ERC G3a-G5,LOS SAUCES,5562.9999999999945,0.03960137918326513,0.03150494514324813,0.00587088187875271,0.12393639848879204,220.3024723965037,175.2620098318892,32.65971589150133,689.4581847931495,LOS SAUCES,0.11806551661003933,3.7475233196951665,0.0386348070520346,0.8154549626924823,-0.007129861908786471,10–29% bajo región,muy alta
ERC G3a-G5,PITRUFQUEN,20452.000000000007,0.03563188200046754,0.03133278383051196,0.01004975396481509,0.0851854584966132,728.7432506735626,640.8180949016308,205.5375680883983,1742.2129971727336,PITRUFQUEN,0.0751357045317981,2.397990071301316,0.0386348070520346,0.8109988433050012,-0.007302023221522638,10–29% bajo región,alta
ERC G3a-G5,VICTORIA,26018.999999999996,0.03962735269601205,0.03118512227899699,0.00580918029575683,0.12048640088310744,1031.0640897975377,811.4056965772228,151.14906211529714,3134.9356645775724,VICTORIA,0.11467722058735061,3.677305465131528,0.0386348070520346,0.8071768609325748,-0.007449684773037608,10–29% bajo región,muy alta
ERC G3a-G5,CURACAUTIN,14166.000000000004,0.03839346764367644,0.03101583576411487,0.00564009805333075,0.11483818033708404,543.8818626403207,439.3703294344515,79.89762902348353,1626.797662655133,CURACAUTIN,0.10919808228375329,3.520720289926696,0.0386348070520346,0.8027951510756025,-0.007618971287919728,10–29% bajo región,muy alta
ERC G3a-G5,PUREN,9114.999999999996,0.03940231068535154,0.03088833009029409,0.00585728147360302,0.12159585919975406,359.15206189697915,281.5471287730305,53.38912063189152,1108.3462566057578,PUREN,0.11573857772615104,3.747000157917863,0.0386348070520346,0.799494871261883,-0.007746476961740509,10–29% bajo región,muy alta
ERC G3a-G5,LONCOCHE,19038.99999999999,0.03814122108676164,0.03049261703915026,0.00571623380740831,0.11470331967712669,726.1707082708546,580.5489358083815,108.8313754592468,2183.836503332813,LONCOCHE,0.10898708586971838,3.5742122668509246,0.0386348070520346,0.7892524737623724,-0.00814219001288434,10–29% bajo región,muy alta
ERC G3a-G5,LUMACO,6919,0.03898888203047222,0.03023423372194574,0.00596996677638147,0.12312906909298545,269.7640747688373,209.19066312214255,41.306200125783434,851.9300290543662,LUMACO,0.11715910231660398,3.8750478478825543,0.0386348070520346,0.7825646361123352,-0.00840057333008886,10–29% bajo región,muy alta
ERC G3a-G5,ERCILLA,5559.999999999997,0.03881589843944629,0.03011702292999089,0.00533698503220555,0.12677432128735083,215.81639532332127,167.4506474907493,29.673636779062864,704.8652263576703,ERCILLA,0.12143733625514529,4.032182614378414,0.0386348070520346,0.7795308227999771,-0.008517784122043709,10–29% bajo región,muy alta
ERC G3a-G5,RENAICO,7948.999999999998,0.03765107895322971,0.03001319994770088,0.00545712581481659,0.11691118256819832,299.2884265992229,238.5749263842743,43.37869310197708,929.3269902346082,RENAICO,0.11145405675338173,3.7135012910184377,0.0386348070520346,0.7768435314631735,-0.008621607104333719,10–29% bajo región,muy alta
ERC G3a-G5,ANGOL,39571.00000000001,0.03728842181345689,0.02977654954215258,0.00571868600069051,0.11088288574994742,1475.540139580303,1178.2878419325198,226.2941237333243,4387.746672011171,ANGOL,0.10516419974925692,3.5317792479744274,0.0386348070520346,0.770718215365967,-0.00885825750988202,10–29% bajo región,muy alta
ERC G3a-G5,COLLIPULLI,17936.999999999993,0.03719833958776138,0.02964188903030275,0.0053850495398418,0.11456057553905168,667.2266171856755,531.6865635365403,96.59163359614249,2054.8730434439694,COLLIPULLI,0.10917552599920988,3.6831500815484564,0.0386348070520346,0.7672327440481352,-0.008992918021731848,10–29% bajo región,muy alta
ERC G3a-G5,PUCON,24191.999999999985,0.03447323345436936,0.02944195956162178,0.00789385447231307,0.09173945894790576,833.976463728103,712.2598857147538,190.96812739419784,2219.3609908677345,PUCON,0.0838456044755927,2.847826901606346,0.0386348070520346,0.762057890491556,-0.009192847490412819,10–29% bajo región,alta
ERC G3a-G5,NUEVA IMPERIAL,25340.99999999999,0.03661594775769691,0.02934922807402491,0.00571016559767386,0.10993933038004904,927.8847321277968,743.738788623865,144.70130641065325,2785.9725711608216,NUEVA IMPERIAL,0.10422916478237518,3.551342628824423,0.0386348070520346,0.7596576847011667,-0.00928557897800969,10–29% bajo región,muy alta
ERC G3a-G5,PERQUENCO,5537.999999999995,0.03860159199581498,0.02921320991766969,0.00492155313613788,0.13177884951974436,213.77561647282317,161.78275652405466,27.25556126793156,729.7912686403439,PERQUENCO,0.1268572963836065,4.342463452017866,0.0386348070520346,0.7561370729333371,-0.009421597134364908,10–29% bajo región,muy alta
ERC G3a-G5,VILLARRICA,50146.00000000002,0.0350305567119867,0.02920906818048983,0.00692127778069175,0.09795447385348008,1756.6422968792858,1464.717932978844,347.0743955905688,4912.025045856616,VILLARRICA,0.09103319607278833,3.1166073327047754,0.0386348070520346,0.7560298707108882,-0.00942573887154477,10–29% bajo región,muy alta
ERC G3a-G5,LONQUIMAY,7514.000000000005,0.03715311784700936,0.02916723861276066,0.00550781431208261,0.11722469808291448,279.1685275024285,219.16263093628373,41.3857167409888,880.82638139502,LONQUIMAY,0.11171688377083187,3.8302180488884456,0.0386348070520346,0.7549471794560093,-0.00946756843927394,10–29% bajo región,muy alta
ERC G3a-G5,GORBEA,10993.000000000002,0.03064042764482218,0.02783896568295066,0.01057771602944863,0.06843401894861949,336.8302210995303,306.03374975267667,116.28083231172891,752.2951703021741,GORBEA,0.057856302919170856,2.0782490117656787,0.0386348070520346,0.7205669655721653,-0.010795841369083937,10–29% bajo región,alta
ERC G3a-G5,VILCUN,23094.000000000015,0.03311865044226117,0.02691154472032899,0.00525925866463501,0.10040456276880597,764.8421133135801,621.4952137712783,121.45731960108102,2318.7429725828065,VILCUN,0.09514530410417095,3.5354828231877065,0.0386348070520346,0.6965621617854505,-0.011723262331705609,≥30% bajo región,muy alta
ERC G3a-G5,CHOLCHOL,9534.999999999998,0.02994227236371807,0.0269098513516396,0.01045901310476631,0.06613085675002241,285.4995669880517,256.5854326378836,99.72668995394676,630.5577191114635,CHOLCHOL,0.0556718436452561,2.0688276169858533,0.0386348070520346,0.696518331653541,-0.011724955700394998,≥30% bajo región,alta
ERC G3a-G5,LAUTARO,30689,0.03125160043250444,0.02536331650416891,0.00485304454958112,0.09349685721502612,959.0803656731288,778.3748201964397,148.9350841820952,2869.3250510719367,LAUTARO,0.08864381266544501,3.494961420004944,0.0386348070520346,0.6564887581814186,-0.01327149054786569,≥30% bajo región,muy alta
ERC G3a-G5,PADRE LAS CASAS,58670.00000000001,0.02723762048215382,0.02287670272822523,0.00426822725778276,0.07775486342815405,1598.0311936879652,1342.1761490649744,250.41689321411468,4561.877837329798,PADRE LAS CASAS,0.0734866361703713,3.212291432178451,0.0386348070520346,0.5921267497832757,-0.01575810432380937,≥30% bajo región,muy alta
ERC G3a-G5,CURARREHUE,5696.999999999996,0.01271116509522231,0.01106505829464651,0.00335853526422568,0.03223463656293887,72.41550754748148,63.037637104601174,19.13357540029373,183.64072449906263,CURARREHUE,0.028876101298713194,2.609665537205892,0.0386348070520346,0.2864012826502209,-0.027569748757388088,≥30% bajo región,alta
ERC G3b-G5,SAAVEDRA,9634.999999999996,0.05056524785530753,0.04056323914684574,0.0080518099122442,0.15080205658873364,487.19616308588775,390.8268091798585,77.5791885044729,1452.9778152324477,SAAVEDRA,0.14275024667648945,3.5192023536313157,0.01751044175324288,2.3165171797755217,0.02305279739360286,≥30% sobre región,muy alta
ERC G3b-G5,TRAIGUEN,14182.000000000007,0.03820086509959303,0.031436697702791123,0.00742509824604152,0.10739340558819474,541.7646688424286,445.835246820984,105.30274332536096,1523.0532780517788,TRAIGUEN,0.09996830734215321,3.17998755108675,0.01751044175324288,1.7953115144550333,0.013926255949548244,≥30% sobre región,muy alta
ERC G3b-G5,MELIPEUCO,5164.000000000002,0.03561305456667452,0.03044693388898694,0.00962253083528325,0.0918102502584426,183.9058137823073,157.2279666027286,49.690749233402755,474.10813233459777,MELIPEUCO,0.08218771942315935,2.6993758952157654,0.01751044175324288,1.7387873086267662,0.01293649213574406,≥30% sobre región,alta
ERC G3b-G5,CUNCO,14658.999999999987,0.03484591767210762,0.02917470417616136,0.00763914793420855,0.09326126330980349,510.80630715542515,427.67198851834905,111.98226956756308,1367.1168588584085,CUNCO,0.08562211537559494,2.9348066344938895,0.01751044175324288,1.6661318193619128,0.01166426242291848,≥30% sobre región,alta
ERC G3b-G5,CURACAUTIN,14166.000000000004,0.03272440031184395,0.02727699082336997,0.0066726638315674,0.0898652936709939,463.5738548175816,386.4058520038592,94.52495583798392,1273.0317501433,CURACAUTIN,0.0831926298394265,3.0499196329292295,0.01751044175324288,1.5577557212866064,0.009766549070127091,≥30% sobre región,muy alta
ERC G3b-G5,GALVARINO,9349.000000000002,0.03065513553135359,0.02519900281334361,0.00702000337378918,0.08512759116163282,286.59486208262484,235.58547730194945,65.63001154155508,795.8578497701053,GALVARINO,0.07810758778784364,3.0996301070486565,0.01751044175324288,1.439084357119479,0.00768856106010073,≥30% sobre región,muy alta
ERC G3b-G5,CHOLCHOL,9534.999999999998,0.02809408477858854,0.02407797424946855,0.00745139386495955,0.07104301534545952,267.8770983638417,229.58348446868263,71.04904050238939,677.3951513189563,CHOLCHOL,0.06359162148049997,2.6410702504137604,0.01751044175324288,1.375063781301199,0.006567532496225669,≥30% sobre región,alta
ERC G3b-G5,LUMACO,6919,0.02816877791102385,0.02328598693907309,0.00564380444758198,0.07832009448298015,194.899774366374,161.11574363144672,39.049482972819774,541.8967337277396,LUMACO,0.072676290035398175,3.1210311259536883,0.01751044175324288,1.3298343506816783,0.005775545185830212,≥30% sobre región,muy alta
ERC G3b-G5,FREIRE,20034.999999999985,0.02725384090848181,0.02322197878818591,0.0073497272988028,0.07050923258097529,546.0307026014328,465.25234502130434,147.25178643151418,1412.6524747598387,FREIRE,0.06315950528217248,2.7198158201016285,0.01751044175324288,1.3261789231493986,0.00571153703494303,≥30% sobre región,alta
ERC G3b-G5,TOLTEN,7628.000000000001,0.02650079540032122,0.02212673233975003,0.00574335366778553,0.07111853628067841,202.14806731365033,168.78271428761326,43.81030177786808,542.492194749015,TOLTEN,0.06537518261289288,2.954579176404112,0.01751044175324288,1.2636307325400415,0.0046162905865071505,10–29% sobre región,alta
ERC G3b-G5,LONQUIMAY,7514.000000000005,0.02536745810914625,0.02107148605576007,0.0053689389033258,0.06880390778840315,190.6110802321251,158.33114622298132,40.34220691959011,516.9925631220615,LONQUIMAY,0.06343496888507735,3.0104648868719375,0.01751044175324288,1.2033669026001412,0.003561044302517191,10–29% sobre región,muy alta
ERC G3b-G5,LONCOCHE,19038.99999999999,0.02489965795297108,0.02100581905247781,0.00545191393980304,0.06592956421627151,474.0645877666161,399.9297889401249,103.79898949991008,1255.2329731135924,LONCOCHE,0.06047765027646847,2.8790903189911385,0.01751044175324288,1.1996167400281377,0.0034953772992349294,10–29% sobre región,alta
ERC G3b-G5,GORBEA,10993.000000000002,0.02308966178296287,0.01970541305696754,0.00538815188473619,0.05900666349879636,253.82465198011087,216.62160573524423,59.23195366890495,648.6602518422685,GORBEA,0.05361851161406017,2.7210041961085136,0.01751044175324288,1.1253521375791766,0.0021949713037246604,10–29% sobre región,alta
ERC G3b-G5,CARAHUE,18569.000000000007,0.02218809764696151,0.01844980656734265,0.00476827774454206,0.05946651239095508,412.0107852064284,342.5944581489859,88.54214943840172,1104.2336685876453,CARAHUE,0.05469823464641302,2.9647050470020875,0.01751044175324288,1.0536459803434601,9.393648140997718e-4,similar a región,alta
ERC G3b-G5,RENAICO,7948.999999999998,0.02160190981603628,0.01814835613530933,0.00456508551333036,0.05899286506275768,171.7135811276724,144.26128291957383,36.287864745463025,468.93428438386064,RENAICO,0.05442777954942732,2.9990473596411835,0.01751044175324288,1.0364305133506018,6.379143820664512e-4,similar a región,alta
ERC G3b-G5,VILLARRICA,50146.00000000002,0.02131863807244759,0.01802554513177972,0.00463381508759762,0.05691538624124659,1069.0444247809576,903.9089861782264,232.36729138267083,2854.078958453553,VILLARRICA,0.05228157115364897,2.900415536475209,0.01751044175324288,1.0294169265285067,5.151033785368402e-4,similar a región,alta
ERC G3b-G5,NUEVA IMPERIAL,25340.99999999999,0.02112824872402271,0.01769240028367986,0.00453417094959256,0.05715124430412798,535.4109509154592,448.3431155887312,114.90042603362517,1448.2696819109065,NUEVA IMPERIAL,0.052617073354535415,2.9739929297819128,0.01751044175324288,1.0103914300393526,1.8195853043698196e-4,similar a región,alta
ERC G3b-G5,PITRUFQUEN,20452.000000000007,0.02000569553666543,0.0171634346712681,0.00394959929744322,0.05348311041905679,409.1564851158817,351.0265658967753,80.77720483130877,1093.8365742905498,PITRUFQUEN,0.04953351112161357,2.885990599803055,0.01751044175324288,0.980182848219091,-3.47007081974781e-4,similar a región,alta
ERC G3b-G5,PUREN,9114.999999999996,0.02035376907460447,0.01711268394587042,0.0043213120582214,0.05477179306509387,185.52460511501968,155.98211416660888,39.38875941068807,499.2448937883304,PUREN,0.050450481006872466,2.948133744914223,0.01751044175324288,0.9772845361083597,-3.9775780737245914e-4,similar a región,alta
ERC G3b-G5,ANGOL,39571.00000000001,0.02043509069466181,0.01709483259832571,0.00465326966397605,0.05599724890534557,808.6369738784626,676.4596207483468,184.13453387319657,2215.86713643343,ANGOL,0.05134397924136952,3.0034794986175073,0.01751044175324288,0.976265067393848,-4.156091549171702e-4,similar a región,muy alta
ERC G3b-G5,TEODORO SCHMIDT,11882,0.02002865483786779,0.01695895195104828,0.00449912562198798,0.05343753847401685,237.9804767835451,201.5062670823557,53.4586106404613,634.9448321482682,TEODORO SCHMIDT,0.04893841285202887,2.8856979483926097,0.01751044175324288,0.9685050891367453,-5.514898021945977e-4,similar a región,alta
ERC G3b-G5,CURARREHUE,5696.999999999996,0.01786887967781723,0.01518896033050644,0.00403469583766666,0.04682704948947596,101.7990075245247,86.53150700289513,22.985662187186957,266.7737009415444,CURARREHUE,0.042792353651809306,2.817332636379497,0.01751044175324288,0.8674230236192352,-0.00232148142273644,10–29% bajo región,alta
ERC G3b-G5,LOS SAUCES,5562.9999999999945,0.01848943556061896,0.01516675904976178,0.00374502173886807,0.05160861645268619,102.85673002372322,84.37268059382474,20.833555933323055,287.098733326293,LOS SAUCES,0.04786359471381812,3.1558221869800125,0.01751044175324288,0.8661551355180941,-0.0023436827034810995,10–29% bajo región,muy alta
ERC G3b-G5,COLLIPULLI,17936.999999999993,0.01811493902960282,0.0150830416156481,0.00388896775889017,0.0494690649170975,324.9276613739857,270.5445174598799,69.75641469121312,887.3266174179776,COLLIPULLI,0.04558009715820733,3.0219433400568,0.01751044175324288,0.8613741348275675,-0.002427400137594779,10–29% bajo región,muy alta
